Identificatore, Italiano, Inglese
LINGUA, LINGUA, LANGUAGE
DISPLAY, DISPLAY, DISPLAY
VOLUME, VOLUME, VOLUME
GIORNO, GIORNO, DAY
ORA, ORA, TIME
PRODOTTO, PRODOTTO, PRODUCT
MULTI_PROGRAMMA, MULTI PROGRAMMA, MULTI PROGRAM
MODIFICA, MODIFICA, EDIT
PROGRAMMA, PROGRAMMA, PROGRAM
PERC_PRODOTTO, % PRODOTTO, PRODUCT %
LUN, LUN, MON
MAR, MAR, TUE
MER, MER, WED
GIO, GIO, THU
VEN, VEN, FRI
SAB, SAB, SAT
DOM, DOM, SUN
INIZIO, INIZIO, START
FINE, FINE, END
SECONDI, SECONDI, SECONDS
MINUTI, MINUTI, MINUTES
L_ORARIO_DI_PROGRAMMAZIONE_COINCIDE, L'ORARIO DI PROGRAMMAZIONE COINCIDE CON UN PROGRAMMA DELL'ALTRO LIQUIDO; IMPOSSIBILE ATTIVARE, THE SCHEDULED TIME OVERLAPS WITH A PROGRAM FOR THE OTHER LIQUID; UNABLE TO ACTIVATE
